l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600698.SH,湖南天雁,19931206,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000559.SZ,万向钱潮,19940110,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000570.SZ,苏常柴A,19940701,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002965.SZ,祥鑫科技,20220729,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600741.SH,华域汽车,19960826,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600742.SH,一汽富维,19960826,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600609.SH,金杯汽车,19920724,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600660.SH,福耀玻璃,19930610,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,000980.SZ,众泰汽车,20000616,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,000589.SZ,贵州轮胎,19960308,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,000599.SZ,青岛双星,19960410,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,600081.SH,东风科技,19970703,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000678.SZ,襄阳轴承,19970106,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,000700.SZ,模塑科技,19970228,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000816.SZ,智慧农业,19970818,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000581.SZ,威孚高科,19980924,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000880.SZ,潍柴重机,19980402,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,000887.SZ,中鼎股份,19981203,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600148.SH,长春一东,19980520,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600178.SH,东安动力,19981014,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600218.SH,全柴动力,19981203,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,600523.SH,贵航股份,20011227,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600960.SH,渤海汽车,20040407,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,600480.SH,凌云股份,20030812,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,600469.SH,风神股份,20031016,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,002048.SZ,宁波华翔,20050601,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002085.SZ,万丰奥威,20061127,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002101.SZ,广东鸿图,20061228,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000338.SZ,潍柴动力,20070430,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002126.SZ,银轮股份,20070418,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002406.SZ,远东传动,20100518,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002355.SZ,兴民智通,20100118,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,301181.SZ,标榜股份,20220128,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002448.SZ,中原内配,20100712,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002363.SZ,隆基机械,20100208,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,301233.SZ,盛帮股份,20220610,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,300893.SZ,松原股份,20220729,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002590.SZ,万安科技,20110601,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002265.SZ,建设工业,20080717,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,002239.SZ,奥特佳,20080430,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002284.SZ,亚太股份,20090810,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002283.SZ,天润工业,20090804,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002328.SZ,新朋股份,20091210,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002488.SZ,金固股份,20101012,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002536.SZ,飞龙股份,20101229,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002472.SZ,双环传动,20100820,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,301298.SZ,东利机械,20220520,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002434.SZ,万里扬,20100528,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,300100.SZ,双林股份,20100727,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,002454.SZ,松芝股份,20100712,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603211.SH,晋拓股份,20220708,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300258.SZ,精锻科技,20110817,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000030.SZ,富奥股份,20130701,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002553.SZ,南方精工,20110216,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300176.SZ,派生科技,20110127,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,001311.SZ,多利科技,20230213,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603190.SH,亚通精工,20230213,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,002662.SZ,京威股份,20120229,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002703.SZ,浙江世宝,20121026,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,300304.SZ,云意电气,20120313,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603997.SH,继峰股份,20150115,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,601689.SH,拓普集团,20150109,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603158.SH,腾龙股份,20150109,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,300473.SZ,德尔股份,20150115,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603035.SH,常熟汽饰,20161219,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603319.SH,湘油泵,20161028,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300507.SZ,苏奥传感,20160418,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300585.SZ,奥联电子,20161219,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601966.SH,玲珑轮胎,20160624,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601163.SH,三角轮胎,20160823,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,601500.SH,通用股份,20160907,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603239.SH,浙江仙通,20161201,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,002813.SZ,路畅科技,20161012,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,001319.SZ,铭科精技,20221202,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,001260.SZ,坤泰股份,20230213,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,001278.SZ,一彬科技,20230213,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002715.SZ,登云股份,20140108,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603166.SH,福达股份,20140124,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,002708.SZ,光洋股份,20140108,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,002725.SZ,跃岭股份,20140122,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603006.SH,联明股份,20140120,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300375.SZ,鹏翎股份,20140108,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603306.SH,华懋科技,20140110,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,301229.SZ,纽泰格,20220211,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603009.SH,北特科技,20140120,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,002510.SZ,天汽模,20170629,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,002516.SZ,旷达科技,20190724,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603922.SH,金鸿顺,20170907,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603305.SH,旭升集团,20170628,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,603197.SH,保隆科技,20170504,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603809.SH,豪能股份,20171030,,Y
801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件,300643.SZ,万通智控,20170419,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,300652.SZ,雷迪克,20170504,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603767.SH,中马传动,20170504,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,300611.SZ,美力科技,20170208,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603178.SH,圣龙股份,20170224,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,603179.SH,新泉股份,20170301,,Y
801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统,002906.SZ,华阳集团,20170925,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603266.SH,天龙股份,20220218,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,603040.SH,新坐标,20170124,,Y
801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件,603730.SH,岱美股份,20170628,,Y
