l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,600583.SH,海油工程,20020205,,Y
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,601808.SH,中海油服,20070927,,Y
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,002207.SZ,准油股份,20080125,,Y
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,002629.SZ,仁智股份,20110126,,Y
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,002554.SZ,惠博普,20110110,,Y
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,300164.SZ,通源石油,20110104,,Y
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,300191.SZ,潜能恒信,20110110,,Y
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,002828.SZ,贝肯能源,20161201,,Y
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,603619.SH,中曼石油,20170807,,Y
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,600968.SH,海油发展,20190614,,Y
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,603727.SH,博迈科,20161107,,Y
801960.SI,石油石化,801962.SI,油服工程,859621.SI,油田服务,600871.SH,石化油服,20150701,,Y
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,600339.SH,中油工程,20170629,,Y
