l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,600633.SH,浙数文化,19930304,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002174.SZ,游族网络,20070924,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300052.SZ,中青宝,20100203,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002624.SZ,完美世界,20150701,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300113.SZ,顺网科技,20100809,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300043.SZ,星辉娱乐,20100105,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002602.SZ,世纪华通,20110713,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300299.SZ,富春股份,20120308,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300315.SZ,掌趣科技,20120427,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002555.SZ,三七互娱,20110221,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300418.SZ,昆仑万维,20150115,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300459.SZ,汤姆猫,20150106,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300467.SZ,迅游科技,20150525,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002558.SZ,巨人网络,20170522,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002517.SZ,恺英网络,20111010,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300494.SZ,盛天网络,20151231,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,603258.SH,电魂网络,20161017,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300533.SZ,冰川网络,20160804,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300031.SZ,宝通科技,20170629,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,603444.SH,吉比特,20161226,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,600892.SH,大晟文化,20170519,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002605.SZ,姚记科技,20210916,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,300002.SZ,神州泰岳,20210730,,Y
801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ,002919.SZ,名臣健康,20230915,,Y
