l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,000552.SZ,甘肃能化,19940106,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,000571.SZ,新大洲A,19940525,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,000983.SZ,山西焦煤,20000726,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600121.SH,郑州煤电,19980107,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600123.SH,兰花科创,19981217,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600188.SH,兖矿能源,19980701,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,000937.SZ,冀中能源,19990909,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600395.SH,盘江股份,20010531,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600508.SH,上海能源,20010829,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600397.SH,安源煤业,20020702,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600546.SH,山煤国际,20030729,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600348.SH,华阳股份,20030819,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600403.SH,大有能源,20031009,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600971.SH,恒源煤电,20040816,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601001.SH,晋控煤业,20060621,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,601666.SH,平煤股份,20061121,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,601699.SH,潞安环能,20060922,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601918.SH,新集能源,20071217,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601088.SH,中国神华,20071008,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,002128.SZ,电投能源,20070418,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601101.SH,昊华能源,20100115,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601898.SH,中煤能源,20080102,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600925.SH,苏能股份,20230224,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,601225.SH,陕西煤业,20140108,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,603071.SH,物产环能,20220729,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600575.SH,淮河能源,20220729,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600985.SH,淮北矿业,20190724,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600157.SH,永泰能源,20210730,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600758.SH,辽宁能源,20170629,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600997.SH,开滦股份,20230704,,Y
