l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,002723.SZ,小崧股份,20140122,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,605365.SH,立达信,20210730,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,603303.SH,得邦照明,20210730,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,300625.SZ,三雄极光,20210730,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,002076.SZ,星光股份,20210730,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,603515.SH,欧普照明,20210730,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,301362.SZ,民爆光电,20230731,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,000541.SZ,佛山照明,20210730,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,600261.SH,阳光照明,20210730,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,001326.SZ,联域股份,20231027,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,002638.SZ,勤上股份,20240730,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,002724.SZ,海洋王,20240730,,Y
