l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,600867.SH,通化东宝,19940824,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,000518.SZ,四环生物,19930908,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,000661.SZ,长春高新,19961218,,Y
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,000403.SZ,派林生物,19960628,,Y
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,600161.SH,天坛生物,19980616,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688137.SH,近岸蛋白,20220916,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688163.SH,赛伦生物,20220225,,Y
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,002252.SZ,上海莱士,20080102,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,300009.SZ,安科生物,20090122,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,300122.SZ,智飞生物,20100125,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,300239.SZ,东宝生物,20110127,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,000534.SZ,万泽股份,20200722,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,002773.SZ,康弘药业,20240730,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688331.SH,荣昌生物,20220325,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,002581.SZ,未名医药,20170526,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,300357.SZ,我武生物,20140108,,Y
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,002880.SZ,卫光生物,20170605,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688278.SH,特宝生物,20200106,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,688185.SH,康希诺,20200727,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688293.SH,奥浦迈,20220819,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688336.SH,三生国健,20200707,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,603087.SH,甘李药业,20200612,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688180.SH,君实生物-U,20200624,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688520.SH,神州细胞-U,20200605,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688488.SH,艾迪药业,20200707,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,603590.SH,康辰药业,20180809,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,300841.SZ,康华生物,20200605,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688136.SH,科兴制药,20201201,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,301207.SZ,华兰疫苗,20220128,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,688319.SH,欧林生物,20210521,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688105.SH,诺唯赞,20220729,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,301080.SZ,百普赛斯,20220729,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,301047.SZ,义翘神州,20220729,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,688276.SH,百克生物,20210609,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,688670.SH,金迪克,20210723,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688687.SH,凯因科技,20210125,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688177.SH,百奥泰,20200204,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,300142.SZ,沃森生物,20100104,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,002007.SZ,华兰生物,20220729,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,300601.SZ,康泰生物,20170116,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,301166.SZ,优宁维,20211210,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,300485.SZ,赛升药业,20170629,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,603392.SH,万泰生物,20220729,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,688739.SH,成大生物,20211015,,Y
801150.SI,医药生物,801152.SI,生物制品,851523.SI,疫苗,600739.SH,辽宁成大,20190724,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,688443.SH,智翔金泰-U,20230609,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,301393.SZ,昊帆生物,20230630,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,600211.SH,西藏药业,20230704,,Y
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,300294.SZ,博雅生物,20120130,,Y
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,300318.SZ,博晖创新,20240730,,Y
