l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,000533.SZ,顺钠股份,19940103,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600312.SH,平高电气,20010221,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,001235.SZ,里得电科,20220429,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600089.SH,特变电工,19970618,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600192.SH,长城电工,19981224,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,600468.SH,百利电气,20010612,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600550.SH,保变电气,20010226,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,600973.SH,宝胜股份,20040730,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002112.SZ,三变科技,20070207,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,002169.SZ,智光电气,20070918,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002358.SZ,森源电气,20100125,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,601877.SH,正泰电器,20100104,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,002350.SZ,北京科锐,20100114,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,300265.SZ,通光线缆,20110905,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,300853.SZ,申昊科技,20220729,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,300040.SZ,九洲集团,20091225,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002276.SZ,万马股份,20090629,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002300.SZ,太阳电缆,20090922,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,300001.SZ,特锐德,20091022,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,300062.SZ,中能电气,20100310,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,601179.SH,中国西电,20100112,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002533.SZ,金杯电工,20101222,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002498.SZ,汉缆股份,20101027,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,300141.SZ,和顺电气,20101101,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002451.SZ,摩恩电气,20100712,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,002471.SZ,中超控股,20100901,,Y
801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他,300069.SZ,金利华电,20100409,,Y
801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备,002441.SZ,众业达,20100618,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,002452.SZ,长高电新,20100712,,Y
