l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,600037.SH,歌华有线,20010208,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,000917.SZ,电广传媒,19990325,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,002238.SZ,天威视讯,20080430,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,601929.SH,吉视传媒,20120209,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,000665.SZ,湖北广电,20100601,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,600959.SH,江苏有线,20150113,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,000156.SZ,华数传媒,20111010,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,600936.SH,广西广电,20160804,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,300770.SZ,新媒股份,20190404,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,600996.SH,贵广网络,20161212,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,600637.SH,东方明珠,20111010,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,301262.SZ,海看股份,20230609,,Y
801760.SI,传媒,801995.SI,电视广播Ⅱ,859951.SI,电视广播Ⅲ,301551.SZ,无线传媒,20240906,,Y
