l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,600359.SH,新农开发,19990429,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,000998.SZ,隆平高科,20000629,,Y
801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,600108.SH,亚盛集团,19970818,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,000713.SZ,丰乐种业,19970422,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,600371.SH,万向德农,20020916,,Y
801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,600540.SH,新赛股份,20040102,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,002041.SZ,登海种业,20050324,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,600354.SH,敦煌种业,20070702,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,300087.SZ,荃银高科,20100112,,Y
801010.SI,农林牧渔,801016.SI,种植业,850112.SI,粮食种植,600598.SH,北大荒,20110110,,Y
801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,601118.SH,海南橡胶,20100128,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,300189.SZ,神农种业,20110107,,Y
801010.SI,农林牧渔,801016.SI,种植业,850112.SI,粮食种植,601952.SH,苏垦农发,20170504,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,600313.SH,农发种业,20110110,,Y
801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,300511.SZ,雪榕生物,20210730,,Y
801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,300970.SZ,华绿生物,20210730,,Y
801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,600883.SH,博闻科技,20220729,,Y
801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,300972.SZ,万辰集团,20210730,,Y
801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,002772.SZ,众兴菌业,20210730,,Y
801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,603336.SH,宏辉果蔬,20161107,,Y
