l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺,000726.SZ,鲁泰A,20001225,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺,000850.SZ,华茂股份,19981007,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851314.SI,印染,600448.SH,华纺股份,20010903,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺,600493.SH,凤竹纺织,20040420,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851315.SI,辅料,002003.SZ,伟星股份,20040622,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851314.SI,印染,600987.SH,航民股份,20040806,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺,002042.SZ,华孚时尚,20050330,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺,002083.SZ,孚日股份,20061121,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851315.SI,辅料,002098.SZ,浔兴股份,20061220,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺,002394.SZ,联发股份,20100106,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,601599.SH,浙文影业,20110118,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,002144.SZ,宏达高科,20110110,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,000955.SZ,欣龙控股,20110110,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺,601339.SH,百隆东方,20120131,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851315.SI,辅料,002674.SZ,兴业科技,20120702,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺,603558.SH,健盛集团,20150115,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,600156.SH,华升股份,20170629,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,300819.SZ,聚杰微纤,20200204,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,603055.SH,台华新材,20180917,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,605180.SH,华生科技,20210415,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,603889.SH,新澳股份,20140120,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851314.SI,印染,605055.SH,迎丰股份,20210129,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,603130.SH,云中马,20221117,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,301066.SZ,万事利,20220729,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,002722.SZ,物产金轮,20210730,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851314.SI,印染,605189.SH,富春染织,20210730,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,300877.SZ,金春股份,20200810,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,300918.SZ,南山智尚,20201207,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,600527.SH,江南高纤,20210730,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851317.SI,纺织鞋类制造,300979.SZ,华利集团,20210730,,Y
