l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600676.SH,交运股份,19930928,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600770.SH,综艺股份,19961120,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600051.SH,宁波联合,20070702,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000632.SZ,三木集团,20070702,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000652.SZ,泰达股份,20060901,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000753.SZ,漳州发展,20150701,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000833.SZ,粤桂股份,20190724,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600620.SH,天宸股份,20180619,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600881.SH,亚泰集团,20210730,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600784.SH,鲁银投资,20110110,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600805.SH,悦达投资,20111010,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600689.SH,上海三毛,20220729,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000025.SZ,特力A,20230704,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000421.SZ,南京公用,20230704,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,002758.SZ,浙农股份,20230704,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600673.SH,东阳光,20230704,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600682.SH,南京新百,20230704,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000523.SZ,红棉股份,20240730,,Y
