l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,000582.SZ,北部湾港,19951102,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601022.SH,宁波远洋,20221104,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,603162.SH,海通发展,20230224,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,603209.SH,兴通股份,20220218,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601083.SH,锦江航运,20231117,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600179.SH,安通控股,20211203,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600017.SH,日照港,20061017,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,002320.SZ,海峡股份,20090202,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601919.SH,中远海控,20070626,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600798.SH,宁波海运,19970423,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601000.SH,唐山港,20100107,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601975.SH,招商南油,20190104,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600717.SH,天津港,19960614,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600018.SH,上港集团,20000719,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,000520.SZ,凤凰航运,19931025,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601866.SH,中远海发,20071211,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,001205.SZ,盛航股份,20210426,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601326.SH,秦港股份,20170712,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,603565.SH,中谷物流,20200821,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,601872.SH,招商轮船,20061130,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601298.SH,青岛港,20190104,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,603167.SH,渤海轮渡,20120130,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,001872.SZ,招商港口,19930505,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601008.SH,连云港,20070425,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601880.SH,辽港股份,20100125,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600026.SH,中远海能,20020523,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,000088.SZ,盐田港,20211112,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,002040.SZ,南京港,20050223,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600279.SH,重庆港,20000731,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,000905.SZ,厦门港务,20050701,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601228.SH,广州港,20170310,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600428.SH,中远海特,20020418,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,601018.SH,宁波港,20100106,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600751.SH,海航科技,20240730,,Y
