l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,000619.SZ,海螺新材,19960919,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,000786.SZ,北新建材,19970606,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002043.SZ,兔宝宝,20050406,,Y
801710.SI,建筑材料,801713.SI,装修建材,850615.SI,耐火材料,002066.SZ,瑞泰科技,20060823,,Y
801710.SI,建筑材料,801713.SI,装修建材,850615.SI,耐火材料,002088.SZ,鲁阳节能,20061129,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002398.SZ,垒知集团,20100422,,Y
801710.SI,建筑材料,801713.SI,装修建材,850615.SI,耐火材料,002225.SZ,濮耐股份,20080407,,Y
801710.SI,建筑材料,801713.SI,装修建材,850616.SI,管材,002372.SZ,伟星新材,20100301,,Y
801710.SI,建筑材料,801713.SI,装修建材,850615.SI,耐火材料,002392.SZ,北京利尔,20100407,,Y
801710.SI,建筑材料,801713.SI,装修建材,850615.SI,耐火材料,688119.SH,中钢洛耐,20220520,,Y
801710.SI,建筑材料,801713.SI,装修建材,850616.SI,管材,002457.SZ,青龙管业,20100716,,Y
801710.SI,建筑材料,801713.SI,装修建材,850616.SI,管材,002641.SZ,公元股份,20111130,,Y
801710.SI,建筑材料,801713.SI,装修建材,850616.SI,管材,002694.SZ,顾地科技,20120808,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002652.SZ,扬子新材,20120111,,Y
801710.SI,建筑材料,801713.SI,装修建材,850616.SI,管材,300198.SZ,纳川股份,20110328,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,300234.SZ,开尔新材,20110614,,Y
801710.SI,建筑材料,801713.SI,装修建材,850615.SI,耐火材料,300374.SZ,中铁装配,20150109,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002718.SZ,友邦吊顶,20140122,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,603038.SH,华立股份,20170105,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002785.SZ,万里石,20151223,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002791.SZ,坚朗五金,20160329,,Y
801710.SI,建筑材料,801713.SI,装修建材,850616.SI,管材,603856.SH,东宏股份,20171030,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002247.SZ,聚力文化,20220729,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,001212.SZ,中旗新材,20210723,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,605318.SH,法狮龙,20200721,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,002333.SZ,罗普斯金,20091221,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,301429.SZ,森泰股份,20230331,,Y
801710.SI,建筑材料,801713.SI,装修建材,850617.SI,防水材料,002271.SZ,东方雨虹,20210730,,Y
801710.SI,建筑材料,801713.SI,装修建材,850617.SI,防水材料,300715.SZ,凯伦股份,20210730,,Y
801710.SI,建筑材料,801713.SI,装修建材,850618.SI,涂料,603737.SH,三棵树,20210730,,Y
801710.SI,建筑材料,801713.SI,装修建材,850618.SI,涂料,603378.SH,亚士创能,20210730,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,301010.SZ,晶雪节能,20210730,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,000055.SZ,方大集团,20210730,,Y
801710.SI,建筑材料,801713.SI,装修建材,850616.SI,管材,300599.SZ,雄塑科技,20170116,,Y
801710.SI,建筑材料,801713.SI,装修建材,850617.SI,防水材料,300737.SZ,科顺股份,20210730,,Y
