l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002047.SZ,宝鹰股份,20050530,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002081.SZ,金螳螂,20061120,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002482.SZ,广田集团,20100908,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002375.SZ,亚厦股份,20100305,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002620.SZ,瑞和股份,20110920,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,601886.SH,江河集团,20110809,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,603030.SH,全筑股份,20150109,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002713.SZ,东易日盛,20140108,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,300621.SZ,维业股份,20170224,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002789.SZ,建艺集团,20160311,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002856.SZ,美芝股份,20170301,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002811.SZ,郑中设计,20160823,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002963.SZ,豪尔赛,20190919,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,605287.SH,德才股份,20210622,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,603137.SH,恒尚节能,20230331,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,600193.SH,创兴资源,20121231,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002163.SZ,海南发展,20220729,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002989.SZ,中天精装,20200506,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,002830.SZ,名雕股份,20161212,,Y
