l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,000503.SZ,国新健康,19921130,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301153.SZ,中科江南,20220429,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,000948.SZ,南天信息,19991014,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,600588.SH,用友网络,20010518,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,600570.SH,恒生电子,20031211,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002063.SZ,远光软件,20060823,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002153.SZ,石基信息,20070810,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300074.SZ,华平股份,20100416,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300098.SZ,高新兴,20100722,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002230.SZ,科大讯飞,20080417,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002253.SZ,川大智胜,20080602,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002279.SZ,久其软件,20090723,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300033.SZ,同花顺,20091210,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300036.SZ,超图软件,20091210,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300047.SZ,天源迪科,20091229,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002405.SZ,四维图新,20100512,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002362.SZ,汉王科技,20100203,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,002439.SZ,启明星辰,20100602,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300085.SZ,银之杰,20100512,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002410.SZ,广联达,20100512,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300226.SZ,上海钢联,20110530,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,601519.SH,大智慧,20110119,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300378.SZ,鼎捷数智,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300380.SZ,安硕信息,20140122,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300379.SZ,东方通,20140122,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300229.SZ,拓尔思,20110607,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300188.SZ,国投智能,20110307,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300235.SZ,方直科技,20110620,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300253.SZ,卫宁健康,20110805,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300311.SZ,任子行,20120416,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300348.SZ,长亮科技,20120808,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300352.SZ,北信源,20120904,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300451.SZ,创业慧康,20150106,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301159.SZ,三维天地,20211224,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300766.SZ,每日互动,20211224,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603990.SH,麦迪科技,20161201,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603528.SH,多伦科技,20160418,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603189.SH,网达软件,20160907,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300520.SZ,科大国创,20160624,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300377.SZ,赢时胜,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300369.SZ,绿盟科技,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300366.SZ,创意信息,20140108,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603383.SH,顶点软件,20170504,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300663.SZ,科蓝软件,20170522,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,603039.SH,泛微网络,20170105,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300469.SZ,信息发展,20150611,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300608.SZ,思特奇,20170124,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603232.SH,格尔软件,20170419,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300525.SZ,博思软件,20160718,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300542.SZ,新晨科技,20160907,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300550.SZ,和仁科技,20161017,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300556.SZ,丝路视觉,20161028,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300559.SZ,佳发教育,20161028,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300730.SZ,科创信息,20171121,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002920.SZ,德赛西威,20171208,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688030.SH,山石网科,20190911,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688023.SH,安恒信息,20191023,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688118.SH,普元信息,20191120,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688369.SH,致远互联,20191021,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688168.SH,安博通,20190822,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,603927.SH,中科软,20190822,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,300768.SZ,迪普科技,20190326,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688111.SH,金山办公,20191101,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300925.SZ,法本信息,20201214,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688588.SH,凌志软件,20200427,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688579.SH,山大地纬,20200629,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688590.SH,新致软件,20201125,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,003007.SZ,直真科技,20200914,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,301270.SZ,汉仪股份,20220812,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300803.SZ,指南针,20191101,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300830.SZ,金现代,20200416,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688561.SH,奇安信-U,20200713,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688318.SH,财富趋势,20200413,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,301162.SZ,国能日新,20220401,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300996.SZ,普联软件,20210518,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688038.SH,中科通达,20210705,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688296.SH,和达科技,20210709,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688109.SH,品茗科技,20210312,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,688171.SH,纬德信息,20220114,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300935.SZ,盈建科,20210119,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688225.SH,亚信安全,20220114,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002261.SZ,拓维信息,20220121,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,003029.SZ,吉大正元,20201214,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,002987.SZ,京北方,20200416,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300561.SZ,汇金科技,20161107,,Y
801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件,300605.SZ,恒锋信息,20170116,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688095.SH,福昕软件,20200831,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,601360.SH,三六零,20120116,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,688152.SH,麒麟信安,20220930,,Y
