l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,000839.SZ,中信国安,20220729,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002093.SZ,国脉科技,20061214,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002115.SZ,三维通信,20070214,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,002123.SZ,梦网科技,20070328,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300050.SZ,世纪鼎利,20100105,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,002467.SZ,二六三,20100818,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300025.SZ,华星创业,20091014,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300081.SZ,恒信东方,20100507,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300211.SZ,亿通科技,20110425,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,301139.SZ,元道通信,20220624,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002544.SZ,普天科技,20110119,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300310.SZ,宜通世纪,20120416,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300292.SZ,吴通控股,20120221,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300560.SZ,中富通,20161028,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300571.SZ,平治信息,20161201,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,603206.SH,嘉环科技,20220415,,Y
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,600941.SH,中国移动,20211217,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,603602.SH,纵横通信,20170807,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,603322.SH,超讯通信,20160718,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300921.SZ,南凌科技,20201214,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,002929.SZ,润建股份,20180212,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,603220.SH,中贝通信,20181030,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300053.SZ,航宇微,20220729,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300959.SZ,线上线下,20210312,,Y
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,600050.SH,中国联通,20021008,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,301380.SZ,挖金客,20220930,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,301382.SZ,蜂助手,20230504,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,301428.SZ,世纪恒通,20230504,,Y
801770.SI,通信,801223.SI,通信服务,852212.SI,电信运营商,601728.SH,中国电信,20210813,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,002148.SZ,北纬科技,20220805,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300513.SZ,恒实科技,20190724,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300603.SZ,立昂技术,20220729,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300383.SZ,光环新网,20230704,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300442.SZ,润泽科技,20230704,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300738.SZ,奥飞数据,20230704,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,603881.SH,数据港,20230704,,Y
801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务,300578.SZ,会畅通讯,20170116,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,300597.SZ,吉大通信,20170116,,Y
