l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002796.SZ,世嘉科技,20220729,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,600345.SH,长江通信,20001222,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,600776.SH,东方通信,19961126,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,600105.SH,永鼎股份,19970929,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,000063.SZ,中兴通讯,19971118,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,600198.SH,大唐电信,20220729,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,600498.SH,烽火通信,20010726,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,600355.SH,精伦电子,20020612,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,301165.SZ,锐捷网络,20221104,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,600522.SH,中天科技,20021024,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,600487.SH,亨通光电,20030821,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002194.SZ,武汉凡谷,20071206,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,002313.SZ,日海智能,20091116,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002281.SZ,光迅科技,20090803,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002396.SZ,星网锐捷,20100412,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,002491.SZ,通鼎互联,20101008,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300134.SZ,大富科技,20101012,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002583.SZ,海能达,20110518,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,300213.SZ,佳讯飞鸿,20110425,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,002104.SZ,恒宝股份,20080602,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,300183.SZ,东软载波,20110110,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,300353.SZ,东土科技,20120911,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,300414.SZ,中光防雷,20150106,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,000586.SZ,汇源通信,20040701,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300548.SZ,博创科技,20161012,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300570.SZ,太辰光,20161201,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,002017.SZ,东信和平,20050901,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002296.SZ,辉煌科技,20170629,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300628.SZ,亿联网络,20170310,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,603042.SH,华脉科技,20170522,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,603803.SH,瑞斯康达,20170330,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300689.SZ,澄天伟业,20170807,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300620.SZ,光库科技,20170224,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300590.SZ,移为通信,20170105,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,301191.SZ,菲菱科思,20220513,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300615.SZ,欣天科技,20170208,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002792.SZ,通宇通讯,20160328,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300710.SZ,万隆光电,20171010,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300504.SZ,天邑股份,20180330,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300638.SZ,广和通,20170330,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002902.SZ,铭普光磁,20170921,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,603083.SH,剑桥科技,20171108,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,603236.SH,移远通信,20190702,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,688313.SH,仕佳光子,20200727,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,003031.SZ,中瓷电子,20201223,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,300711.SZ,广哈通信,20171030,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300698.SZ,万马科技,20170815,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,688387.SH,信科移动-U,20220909,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,301577.SZ,美信科技,20240112,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,601869.SH,长飞光纤,20180706,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,688143.SH,长盈通,20221121,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,688418.SH,震有科技,20200707,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,688159.SH,有方科技,20200108,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,688618.SH,三旺通信,20201214,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,300913.SZ,兆龙互连,20201125,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,003040.SZ,楚天龙,20210305,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,688027.SH,国盾量子,20200618,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,688080.SH,映翰通,20200122,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,603421.SH,鼎信通讯,20161011,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,688283.SH,坤恒顺维,20220121,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,301307.SZ,美利信,20230331,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,002897.SZ,意华股份,20170828,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300565.SZ,科信技术,20161107,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,300627.SZ,华测导航,20211203,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300308.SZ,中际旭创,20180713,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300394.SZ,天孚通信,20180713,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,300502.SZ,新易盛,20180713,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,688100.SH,威胜信息,20200525,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,600775.SH,南京熊猫,20010430,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,688205.SH,德科立,20220725,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,688182.SH,灿勤科技,20211105,,Y
