l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,002175.SZ,东方智造,20220729,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,300466.SZ,赛摩智能,20240730,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000595.SZ,宝塔实业,19960419,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,000530.SZ,冰山冷热,19931208,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,000410.SZ,沈阳机床,19960718,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000777.SZ,中核科技,19970710,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,000811.SZ,冰轮环境,19980528,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,000837.SZ,秦川机床,19980928,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,600172.SH,黄河旋风,19981126,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,600592.SH,龙溪股份,20020805,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,301377.SZ,鼎泰高科,20221104,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002026.SZ,山东威达,20040726,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,002158.SZ,汉钟精机,20070816,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002164.SZ,宁波东力,20070822,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,601002.SH,晋亿实业,20070125,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,301137.SZ,哈焊华通,20220304,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,002444.SZ,巨星科技,20100712,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002514.SZ,宝馨科技,20101122,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300145.SZ,中金环境,20101129,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,688333.SH,铂力特,20220729,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002552.SZ,宝鼎科技,20110216,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,002248.SZ,华东数控,20080526,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,002282.SZ,博深股份,20090804,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002347.SZ,泰尔股份,20100112,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002438.SZ,江苏神通,20100601,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,002520.SZ,日发精机,20101201,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300154.SZ,瑞凌股份,20101220,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,301125.SZ,腾亚精工,20220520,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300091.SZ,金通灵,20100609,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,601177.SH,杭齿前进,20100917,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300126.SZ,锐奇股份,20100920,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,002639.SZ,雪人股份,20111118,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,002633.SZ,申科股份,20111111,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,300260.SZ,新莱应材,20110823,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,002598.SZ,山东章鼓,20110629,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300257.SZ,开山股份,20110809,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300193.SZ,佳士科技,20110314,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,603088.SH,宁波精达,20140124,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603308.SH,应流股份,20140108,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,300161.SZ,华中数控,20110104,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,002559.SZ,亚威股份,20110223,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,300179.SZ,四方达,20110127,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,301303.SZ,真兰仪表,20230213,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,300345.SZ,华民股份,20120724,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,688115.SH,思林杰,20220228,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,301268.SZ,铭利达,20220318,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,002760.SZ,凤形股份,20150115,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300420.SZ,五洋自控,20150115,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300430.SZ,诚益通,20150309,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300441.SZ,鲍斯股份,20150413,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300470.SZ,中密控股,20150115,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,301151.SZ,冠龙节能,20220318,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,300421.SZ,力星股份,20150115,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,300488.SZ,恒锋工具,20150618,,Y
801890.SI,机械设备,801072.SI,通用设备,850731.SI,仪器仪表,688337.SH,普源精电,20220318,,Y
801890.SI,机械设备,801072.SI,通用设备,850711.SI,机床工具,601882.SH,海天精工,20161028,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,603339.SH,四方科技,20160509,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,301255.SZ,通力科技,20221209,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,603090.SH,宏盛股份,20160823,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,603131.SH,上海沪工,20160525,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,300503.SZ,昊志机电,20160304,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,603667.SH,五洲新春,20161017,,Y
