l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,000795.SZ,英洛华,20080102,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,600980.SH,北矿科技,20080102,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,000969.SZ,安泰科技,20110110,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,603978.SH,深圳新星,20170807,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,300811.SZ,铂科新材,20191223,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,300835.SZ,龙磁科技,20200518,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,000633.SZ,合金投资,20180619,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,300748.SZ,金力永磁,20180918,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,688077.SH,大地熊,20200706,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,688102.SH,斯瑞新材,20220729,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,300963.SZ,中洲特材,20210325,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,300930.SZ,屹通新材,20210111,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,300855.SZ,图南股份,20200706,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,600366.SH,宁波韵升,20100104,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,300224.SZ,正海磁材,20110124,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,688786.SH,悦安新材,20220729,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,000970.SZ,中科三环,20100104,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,600255.SH,鑫科材料,20210730,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,301323.SZ,新莱福,20230526,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,301141.SZ,中科磁业,20230317,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,601137.SH,博威合金,20210730,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,300127.SZ,银河磁体,20100201,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,605158.SH,华达新材,20230704,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,688456.SH,有研粉材,20230704,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,688190.SH,云路股份,20211112,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,603045.SH,福达合金,20180507,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,688231.SH,隆达股份,20220701,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,301522.SZ,N上大,20240920,,Y
