l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,600611.SH,大众交通,19920807,,Y
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,600834.SH,申通地铁,19920619,,Y
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,600125.SH,铁龙物流,19980511,,Y
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,600561.SH,江西长运,20020716,,Y
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,002357.SZ,富临运业,20100125,,Y
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,002627.SZ,三峡旅游,20110121,,Y
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,603069.SH,海汽集团,20160624,,Y
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,600650.SH,锦江在线,20040401,,Y
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,601816.SH,京沪高铁,20200106,,Y
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,601333.SH,广深铁路,20061220,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600020.SH,中原高速,20030801,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,601107.SH,四川成渝,20090106,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600035.SH,楚天高速,20040308,,Y
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,001317.SZ,三羊马,20211022,,Y
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,000557.SZ,西部创业,19940617,,Y
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,001213.SZ,中铁特货,20210820,,Y
801170.SI,交通运输,801179.SI,铁路公路,851771.SI,铁路运输,601006.SH,大秦铁路,20060801,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000900.SZ,现代投资,19990128,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600377.SH,宁沪高速,20010116,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600106.SH,重庆路桥,19970618,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000429.SZ,粤高速A,19980220,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600033.SH,福建高速,20010209,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000828.SZ,东莞控股,19970617,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000548.SZ,湖南投资,19931220,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600269.SH,赣粤高速,20000420,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600350.SH,山东高速,20020318,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,001965.SZ,招商公路,20171221,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,000755.SZ,山西高速,20181119,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600548.SH,深高速,20011225,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,601188.SH,龙江交通,20100118,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600368.SH,五洲交通,20001221,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,601518.SH,吉林高速,20100118,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600012.SH,皖通高速,20030107,,Y
