l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,603779.SH,威龙股份,20160426,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,000869.SZ,张裕A,20070702,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,600059.SH,古越龙山,20110110,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,600084.SH,中信尼雅,20070702,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,600543.SH,莫高股份,20070702,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,600616.SH,金枫酒业,20110110,,Y
801120.SI,食品饮料,801126.SI,非白酒,851232.SI,啤酒,600573.SH,惠泉啤酒,20030226,,Y
801120.SI,食品饮料,801126.SI,非白酒,851232.SI,啤酒,600600.SH,青岛啤酒,19930827,,Y
801120.SI,食品饮料,801126.SI,非白酒,851232.SI,啤酒,000929.SZ,兰州黄河,19990623,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,600238.SH,海南椰岛,20000120,,Y
801120.SI,食品饮料,801126.SI,非白酒,851232.SI,啤酒,002461.SZ,珠江啤酒,20100129,,Y
801120.SI,食品饮料,801126.SI,非白酒,851232.SI,啤酒,000729.SZ,燕京啤酒,19970716,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,601579.SH,会稽山,20140207,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,002568.SZ,百润股份,20151026,,Y
801120.SI,食品饮料,801126.SI,非白酒,851232.SI,啤酒,600132.SH,重庆啤酒,19971030,,Y
