l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,688349.SH,三一重能,20220602,,Y
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,002202.SZ,金风科技,20071225,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,002531.SZ,天顺风能,20101222,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300129.SZ,泰胜风能,20101008,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,601218.SH,吉鑫科技,20110426,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300185.SZ,通裕重工,20110225,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300443.SZ,金雷股份,20150113,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,603063.SH,禾望电气,20170712,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,603507.SH,振江股份,20171030,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300569.SZ,天能重工,20161125,,Y
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,601615.SH,明阳智能,20190104,,Y
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,300772.SZ,运达股份,20190415,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,301163.SZ,宏德股份,20220729,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,301063.SZ,海锅股份,20220729,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,301040.SZ,中环海陆,20210723,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300850.SZ,新强联,20200629,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,603218.SH,日月股份,20161212,,Y
801730.SI,电力设备,801736.SI,风电设备,857361.SI,风电整机,688660.SH,电气风电,20210510,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,600458.SH,时代新材,20210730,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,603985.SH,恒润股份,20220729,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,301155.SZ,海力风电,20211105,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,301232.SZ,飞沃科技,20230526,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,301456.SZ,盘古智能,20230630,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,002487.SZ,大金重工,20210730,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300690.SZ,双一科技,20210730,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,300904.SZ,威力传动,20230731,,Y
801730.SI,电力设备,801736.SI,风电设备,857362.SI,风电零部件,600072.SH,中船科技,20240730,,Y
