l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,000895.SZ,双汇发展,19981210,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,600530.SH,交大昂立,20010702,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002330.SZ,得利斯,20091216,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002515.SZ,金字火腿,20101122,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002840.SZ,华统股份,20161219,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,002726.SZ,龙大美食,20140120,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,600073.SH,光明肉业,20190724,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,603237.SH,五芳斋,20220819,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,603102.SH,百合股份,20220114,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,002661.SZ,克明食品,20230331,,Y
801120.SI,食品饮料,801124.SI,食品加工,851241.SI,肉制品,000529.SZ,广弘控股,20230512,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,002216.SZ,三全食品,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,002702.SZ,海欣食品,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,300791.SZ,仙乐健康,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,001215.SZ,千味央厨,20210820,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,605567.SH,春雪食品,20210917,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,603536.SH,惠发食品,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,300146.SZ,汤臣倍健,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,605338.SH,巴比食品,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,605089.SH,味知香,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,002626.SZ,金达威,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851246.SI,预加工食品,603345.SH,安井食品,20210730,,Y
801120.SI,食品饮料,801124.SI,食品加工,851247.SI,保健品,000639.SZ,西王食品,20240730,,Y
