l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,600612.SH,老凤祥,19920814,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,000026.SZ,飞亚达,19930603,,Y
801130.SI,纺织服饰,801133.SI,饰品,851333.SI,其他饰品,600439.SH,瑞贝卡,20030707,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,002345.SZ,潮宏基,20100112,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,002574.SZ,明牌珠宝,20110110,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,002731.SZ,萃华珠宝,20140124,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,002867.SZ,周大生,20170419,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,600916.SH,中国黄金,20210125,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,300945.SZ,曼卡龙,20210129,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,000017.SZ,深中华A,20220729,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,301177.SZ,迪阿股份,20211203,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,605599.SH,菜百股份,20210820,,Y
801130.SI,纺织服饰,801133.SI,饰品,851333.SI,其他饰品,600735.SH,新华锦,20190724,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,603900.SH,莱绅通灵,20210730,,Y
