plate_name,PC10,PC20,PC60,10RPS,20RPS,60RPS
教育,0.27871,0.3593,0.97166,100.0,99.25,100.0
专业连锁Ⅱ,0.26247,0.38128,0.8434,99.25,100.0,99.25
金属新材料,0.22199,0.26879,0.52683,98.5,96.24,88.72
多元金融,0.1994,0.23001,0.64364,97.74,93.98,94.74
房地产开发,0.16601,0.20314,0.5261,96.99,92.48,87.97
光学光电子,0.1442,0.31095,0.69914,96.24,97.74,96.99
小金属,0.13903,0.16742,0.39158,95.49,85.71,73.68
电视广播Ⅱ,0.12304,0.16334,0.38485,94.74,84.96,71.43
乘用车,0.12253,0.16316,0.25323,93.98,84.21,48.12
动物保健Ⅱ,0.11836,0.10694,0.1665,93.23,63.91,30.08
综合Ⅱ,0.11555,0.15308,0.51005,92.48,81.2,86.47
贸易Ⅱ,0.11216,0.19532,0.43453,91.73,91.73,80.45
一般零售,0.11195,0.12635,0.33538,90.98,72.18,63.91
自动化设备,0.1079,0.11155,0.42364,90.23,66.17,78.2
航空机场,0.10573,0.12727,0.15403,89.47,72.93,26.32
光伏设备,0.10493,0.17007,0.48425,88.72,88.72,85.71
证券Ⅱ,0.10367,0.04479,0.42208,87.97,29.32,75.94
房地产服务,0.10251,0.16774,0.53868,87.22,86.47,90.23
水泥,0.10047,0.18148,0.34198,86.47,90.98,64.66
装修装饰Ⅱ,0.09956,0.10851,0.29984,85.71,64.66,58.65
化学纤维,0.09825,0.11879,0.24775,84.96,69.17,44.36
电机Ⅱ,0.09746,0.1089,0.28185,84.21,65.41,54.14
普钢,0.0951,0.101,0.26252,83.46,60.15,48.87
风电设备,0.09359,0.23201,0.44139,82.71,94.74,81.95
农化制品,0.09221,0.12768,0.37568,81.95,73.68,69.92
基础建设,0.09061,0.1681,0.38504,81.2,87.22,72.18
消费电子,0.08851,0.15118,0.52203,80.45,80.45,87.22
影视院线,0.08588,0.14056,0.33128,79.7,77.44,62.41
工程机械,0.08433,0.12051,0.33295,78.95,70.68,63.16
黑色家电,0.0807,0.2704,0.64537,78.2,96.99,95.49
种植业,0.08066,0.16208,0.54204,77.44,82.71,90.98
家电零部件Ⅱ,0.07889,0.09035,0.48112,76.69,55.64,84.96
包装印刷,0.07419,0.12956,0.28916,75.94,75.19,55.64
环境治理,0.07418,0.14393,0.3167,75.19,78.2,60.9
体育Ⅱ,0.07403,0.06162,0.12824,74.44,40.6,17.29
休闲食品,0.07258,0.14703,0.58468,73.68,78.95,92.48
装修建材,0.07117,0.32902,0.53699,72.93,98.5,89.47
专业工程,0.07083,0.11223,0.25154,72.18,66.92,46.62
工程咨询服务Ⅱ,0.07075,0.16304,0.29476,71.43,83.46,57.14
房屋建设Ⅱ,0.07012,0.25226,0.42234,70.68,95.49,76.69
IT服务Ⅱ,0.06885,0.12788,0.66443,69.92,74.44,96.24
能源金属,0.06881,0.07664,0.3524,69.17,48.87,66.17
专用设备,0.06798,0.14867,0.36016,68.42,79.7,69.17
摩托车及其他,0.06763,0.09715,0.34926,67.67,57.89,65.41
