ts_code,MA120,MA250,PC120,PC250,250RPS_Rank,250RPS,120RPS_Rank,120RPS
000001.SZ,10.47,10.34,-0.02408,-0.10512,970.0,80.0,1034.0,78.68
000002.SZ,7.64,9.59,-0.32248,-0.55365,4551.0,6.11,4173.0,13.91
000004.SZ,11.47,13.77,-0.11899,-0.31168,2691.0,44.49,2060.0,57.51
000006.SZ,3.79,4.18,-0.0603,-0.29699,2546.0,47.48,1355.0,72.06
000007.SZ,4.61,4.66,0.11271,-0.0902,896.0,81.53,367.0,92.45
000008.SZ,2.18,2.26,-0.16239,-0.20648,1652.0,65.93,2659.0,45.15
000009.SZ,9.48,10.33,-0.32212,-0.28277,2398.0,50.54,4171.0,13.95
000010.SZ,1.88,2.56,-0.26087,-0.51149,4383.0,9.57,3700.0,23.67
000011.SZ,8.04,8.69,-0.10256,-0.25229,2071.0,57.28,1854.0,61.76
000012.SZ,5.37,5.47,-0.08484,-0.13036,1110.0,77.12,1643.0,66.12
000014.SZ,10.03,11.0,-0.3562,-0.42382,3794.0,21.73,4367.0,9.91
000016.SZ,2.73,3.37,-0.16923,-0.37644,3335.0,31.2,2756.0,43.15
000017.SZ,7.02,6.52,-0.475,0.21064,229.0,95.3,4727.0,2.48
000019.SZ,6.25,6.75,-0.10455,-0.19482,1557.0,67.89,1879.0,61.25
000020.SZ,11.41,12.16,-0.22989,-0.07427,825.0,83.0,3426.0,29.32
000021.SZ,14.0,15.0,-0.13633,-0.24865,2040.0,57.92,2286.0,52.85
000025.SZ,14.49,15.22,-0.11418,-0.12926,1099.0,77.34,2002.0,58.71
000026.SZ,9.61,10.32,-0.06729,-0.1984,1580.0,67.42,1435.0,70.41
000027.SZ,7.02,6.63,-0.12121,-0.10769,981.0,79.78,2088.0,56.93
000028.SZ,32.67,31.31,-0.1853,-0.21199,1704.0,64.86,2970.0,38.73
000029.SZ,11.0,11.32,0.0,-0.09699,929.0,80.85,857.0,82.34
000030.SZ,5.22,5.26,-0.07157,-0.11845,1047.0,78.42,1488.0,69.31
000031.SZ,2.53,2.92,-0.14662,-0.45169,3988.0,17.73,2416.0,50.17
000032.SZ,15.77,18.56,-0.3596,-0.58687,4652.0,4.02,4377.0,9.7
000034.SZ,26.71,28.11,-0.23579,-0.19383,1550.0,68.04,3481.0,28.19
000035.SZ,4.52,4.79,0.02683,-0.21747,1743.0,64.05,690.0,85.78
000036.SZ,3.03,3.39,-0.0346,-0.31785,2751.0,43.25,1114.0,77.03
000037.SZ,8.73,8.68,-0.16667,-0.2732,2298.0,52.6,2720.0,43.89
000039.SZ,8.85,8.2,-0.17845,0.06789,418.0,91.39,2869.0,40.82
000042.SZ,4.25,5.22,-0.13086,-0.54987,4539.0,6.36,2224.0,54.13
000045.SZ,8.53,9.67,-0.07439,-0.10941,993.0,79.53,1519.0,68.68
000048.SZ,15.74,17.27,-0.21028,-0.28691,2440.0,49.67,3238.0,33.2
000049.SZ,22.97,25.67,0.02386,-0.31144,2687.0,44.57,712.0,85.33
000050.SZ,7.6,8.63,-0.2396,-0.20095,1610.0,66.8,3518.0,27.42
000055.SZ,3.74,4.15,-0.16583,-0.32794,2852.0,41.17,2710.0,44.1
000056.SZ,2.14,2.8,-0.45574,-0.5376,4495.0,7.26,4688.0,3.28
000058.SZ,5.95,6.6,-0.08896,-0.0805,852.0,82.44,1693.0,65.08
000059.SZ,4.61,5.14,-0.22288,-0.34876,3080.0,36.46,3353.0,30.83
000060.SZ,4.48,4.55,-0.06236,-0.20566,1647.0,66.03,1378.0,71.58
000061.SZ,5.52,6.03,-0.15876,-0.23852,1934.0,60.11,2601.0,46.35
000062.SZ,9.87,10.41,1.44781,1.10881,13.0,99.75,4.0,99.94
000063.SZ,27.41,27.7,-0.15084,-0.29711,2548.0,47.44,2487.0,48.7
000065.SZ,10.86,11.45,-0.25455,-0.4695,4103.0,15.35,3651.0,24.68
000066.SZ,9.03,9.78,-0.24175,-0.30018,2570.0,46.99,3537.0,27.03
000068.SZ,3.16,3.46,-0.19619,-0.22164,1777.0,63.35,3092.0,36.22
000069.SZ,2.38,2.99,-0.36585,-0.59193,4665.0,3.76,4412.0,8.98
000078.SZ,2.33,2.67,-0.07819,-0.28205,2391.0,50.68,1566.0,67.71
000088.SZ,4.69,4.8,-0.08936,-0.13883,1163.0,76.02,1699.0,64.96
000089.SZ,6.66,6.64,-0.0546,-0.13305,1128.0,76.74,1299.0,73.22
000090.SZ,4.19,4.76,-0.24439,-0.45114,3983.0,17.83,3558.0,26.6
000096.SZ,9.95,9.93,-0.09045,0.06421,427.0,91.21,1713.0,64.67
000099.SZ,16.96,12.52,0.50837,0.79906,36.0,99.28,28.0,99.44
000100.SZ,4.36,4.23,-0.16094,0.01823,542.0,88.84,2637.0,45.6
000151.SZ,10.17,10.9,-0.10834,-0.2654,2221.0,54.19,1932.0,60.15
000153.SZ,6.73,8.02,-0.27665,-0.39843,3559.0,26.58,3840.0,20.78
000155.SZ,10.76,11.45,-0.14991,-0.29811,2554.0,47.32,2471.0,49.03
000156.SZ,6.81,7.22,-0.14444,-0.27273,2290.0,52.77,2382.0,50.87
000157.SZ,7.76,7.26,-0.23937,-0.00318,594.0,87.76,3516.0,27.47
000158.SZ,6.95,7.88,-0.06901,0.1512,297.0,93.89,1454.0,70.02
000159.SZ,5.59,5.91,0.13514,-0.08978,890.0,81.65,296.0,93.91
000166.SZ,4.5,4.46,-0.00223,-0.03664,702.0,85.53,880.0,81.86
000301.SZ,8.93,9.69,-0.25695,-0.31958,2763.0,43.0,3671.0,24.27
000333.SZ,64.98,59.94,-0.02812,0.17598,262.0,94.61,1063.0,78.09
000338.SZ,15.55,14.69,-0.23323,0.0646,425.0,91.25,3464.0,28.54
000400.SZ,28.87,24.24,0.12111,0.4482,92.0,98.12,340.0,93.0
000401.SZ,4.79,5.84,-0.24382,-0.4596,4047.0,16.51,3556.0,26.64
000402.SZ,2.7,3.34,-0.38769,-0.58193,4642.0,4.23,4504.0,7.08
000403.SZ,27.35,25.68,-0.04462,0.40181,106.0,97.83,1205.0,75.15
000404.SZ,6.3,6.12,-0.11424,-0.00831,609.0,87.45,2004.0,58.67
000407.SZ,2.88,3.24,-0.09732,-0.28075,2380.0,50.91,1796.0,62.96
000408.SZ,26.54,25.42,-0.19628,0.02059,536.0,88.96,3094.0,36.17
000409.SZ,8.14,8.13,-0.13789,-0.11235,1006.0,79.26,2303.0,52.5
000410.SZ,6.64,6.85,-0.12945,-0.23596,1918.0,60.44,2201.0,54.6
000411.SZ,10.1,10.75,-0.07172,-0.23225,1873.0,61.37,1491.0,69.25
000415.SZ,2.47,2.39,0.15566,-0.07547,831.0,82.87,242.0,95.03
000417.SZ,4.43,4.73,-0.07466,-0.27482,2313.0,52.29,1523.0,68.59
000419.SZ,4.4,4.96,-0.02733,-0.2561,2108.0,56.52,1060.0,78.15
000420.SZ,3.38,3.19,0.05776,-0.14076,1174.0,75.79,537.0,88.94
000421.SZ,4.95,5.29,-0.09363,-0.13498,1136.0,76.58,1755.0,63.81
000422.SZ,11.27,10.62,0.28587,0.02643,518.0,89.33,93.0,98.1
000423.SZ,60.91,55.43,-0.16992,-0.03652,700.0,85.58,2762.0,43.03
000425.SZ,6.88,6.34,0.00159,0.01125,558.0,88.51,849.0,82.5
000426.SZ,12.86,10.93,0.17769,0.32867,145.0,97.03,202.0,95.85
000428.SZ,3.09,3.65,-0.1403,-0.3833,3418.0,29.49,2333.0,51.88
000429.SZ,10.43,9.44,0.11817,0.47382,86.0,98.25,349.0,92.82
000430.SZ,6.11,6.39,-0.10214,-0.26649,2236.0,53.88,1844.0,61.97
000488.SZ,3.61,3.85,0.02624,-0.26667,2239.0,53.82,696.0,85.66
000498.SZ,5.41,5.67,-0.07313,-0.23065,1857.0,61.7,1507.0,68.92
000501.SZ,7.27,7.95,-0.07819,-0.28814,2453.0,49.4,1566.0,67.71
000503.SZ,7.99,9.83,-0.30225,-0.39088,3482.0,28.17,4033.0,16.8
000504.SZ,7.42,9.05,-0.13033,-0.35622,3143.0,35.16,2211.0,54.4
000505.SZ,5.83,6.44,-0.21304,-0.34954,3088.0,36.3,3267.0,32.6
000507.SZ,4.72,5.02,-0.0865,-0.22122,1775.0,63.39,1660.0,65.77
000509.SZ,2.85,3.25,-0.17726,-0.26126,2163.0,55.39,2855.0,41.11
000510.SZ,3.37,4.23,-0.255,-0.4409,3913.0,19.27,3655.0,24.6
000513.SZ,37.8,36.46,-0.07032,0.06257,437.0,91.0,1473.0,69.62
000514.SZ,3.34,3.83,-0.05607,-0.4082,3652.0,24.66,1325.0,72.68
000516.SZ,5.33,6.7,-0.31703,-0.46278,4064.0,16.16,4138.0,14.63
000517.SZ,2.56,2.59,-0.05479,-0.33866,2974.0,38.65,1303.0,73.13
000518.SZ,2.21,2.61,-0.16102,-0.30526,2627.0,45.81,2639.0,45.56
000519.SZ,13.28,13.67,-0.12795,-0.2897,2467.0,49.11,2178.0,55.08
000520.SZ,2.52,2.67,-0.04955,-0.32372,2816.0,41.91,1251.0,74.21
000521.SZ,8.76,7.55,-0.12896,0.30442,157.0,96.78,2192.0,54.79
000523.SZ,2.9,3.04,-0.16066,-0.22892,1836.0,62.13,2633.0,45.69
000524.SZ,8.82,8.75,-0.02364,-0.18056,1446.0,70.18,1030.0,78.77
000526.SZ,59.42,49.72,-0.12514,1.05821,16.0,99.69,2139.0,55.88
000528.SZ,10.05,8.4,0.15519,0.26438,187.0,96.16,245.0,94.96
000529.SZ,6.11,6.3,-0.06204,-0.2031,1629.0,66.41,1374.0,71.67
000530.SZ,3.92,4.55,-0.125,-0.32342,2810.0,42.03,2132.0,56.03
000531.SZ,5.47,6.01,-0.20833,-0.30804,2650.0,45.34,3218.0,33.62
000532.SZ,11.88,11.74,-0.09277,-0.03003,677.0,86.05,1745.0,64.01
000533.SZ,3.5,3.83,-0.15873,-0.20698,1656.0,65.85,2600.0,46.37
000534.SZ,10.66,11.57,-0.12844,-0.23139,1865.0,61.54,2183.0,54.97
000536.SZ,2.32,2.88,-0.28,0.17391,265.0,94.55,3864.0,20.28
000537.SZ,9.52,9.94,-0.1459,-0.27013,2270.0,53.18,2409.0,50.31
000538.SZ,52.79,51.6,0.07443,0.04133,482.0,90.07,465.0,90.43
000539.SZ,5.13,5.27,-0.15507,-0.39024,3476.0,28.29,2559.0,47.21
000541.SZ,5.14,5.72,-0.14233,-0.12121,1059.0,78.17,2362.0,51.28
000543.SZ,8.51,7.5,0.11803,0.30015,159.0,96.74,350.0,92.8
000544.SZ,7.71,7.44,0.02017,-0.16509,1333.0,72.51,738.0,84.79
000545.SZ,2.02,2.47,-0.11927,-0.36213,3196.0,34.07,2063.0,57.45
000546.SZ,4.72,6.05,-0.22399,-0.35389,3116.0,35.72,3366.0,30.56
000547.SZ,6.74,7.51,-0.14722,-0.3208,2780.0,42.65,2426.0,49.96
