ts_code,MA120,MA250,PC120,PC250
000001.SZ,10.47,10.34,-0.02408,-0.10512
000002.SZ,7.64,9.59,-0.32248,-0.55365
000004.SZ,11.47,13.77,-0.11899,-0.31168
000006.SZ,3.79,4.18,-0.0603,-0.29699
000007.SZ,4.61,4.66,0.11271,-0.0902
000008.SZ,2.18,2.26,-0.16239,-0.20648
000009.SZ,9.48,10.33,-0.32212,-0.28277
000010.SZ,1.88,2.56,-0.26087,-0.51149
000011.SZ,8.04,8.69,-0.10256,-0.25229
000012.SZ,5.37,5.47,-0.08484,-0.13036
000014.SZ,10.03,11.0,-0.3562,-0.42382
000016.SZ,2.73,3.37,-0.16923,-0.37644
000017.SZ,7.02,6.52,-0.475,0.21064
000019.SZ,6.25,6.75,-0.10455,-0.19482
000020.SZ,11.41,12.16,-0.22989,-0.07427
000021.SZ,14.0,15.0,-0.13633,-0.24865
000025.SZ,14.49,15.22,-0.11418,-0.12926
000026.SZ,9.61,10.32,-0.06729,-0.1984
000027.SZ,7.02,6.63,-0.12121,-0.10769
000028.SZ,32.67,31.31,-0.1853,-0.21199
000029.SZ,11.0,11.32,0.0,-0.09699
000030.SZ,5.22,5.26,-0.07157,-0.11845
000031.SZ,2.53,2.92,-0.14662,-0.45169
000032.SZ,15.77,18.56,-0.3596,-0.58687
000034.SZ,26.71,28.11,-0.23579,-0.19383
000035.SZ,4.52,4.79,0.02683,-0.21747
000036.SZ,3.03,3.39,-0.0346,-0.31785
000037.SZ,8.73,8.68,-0.16667,-0.2732
000039.SZ,8.85,8.2,-0.17845,0.06789
000042.SZ,4.25,5.22,-0.13086,-0.54987
000045.SZ,8.53,9.67,-0.07439,-0.10941
000048.SZ,15.74,17.27,-0.21028,-0.28691
000049.SZ,22.97,25.67,0.02386,-0.31144
000050.SZ,7.6,8.63,-0.2396,-0.20095
000055.SZ,3.74,4.15,-0.16583,-0.32794
000056.SZ,2.14,2.8,-0.45574,-0.5376
000058.SZ,5.95,6.6,-0.08896,-0.0805
000059.SZ,4.61,5.14,-0.22288,-0.34876
000060.SZ,4.48,4.55,-0.06236,-0.20566
000061.SZ,5.52,6.03,-0.15876,-0.23852
000062.SZ,9.87,10.41,1.44781,1.10881
000063.SZ,27.41,27.7,-0.15084,-0.29711
000065.SZ,10.86,11.45,-0.25455,-0.4695
000066.SZ,9.03,9.78,-0.24175,-0.30018
000068.SZ,3.16,3.46,-0.19619,-0.22164
000069.SZ,2.38,2.99,-0.36585,-0.59193
000078.SZ,2.33,2.67,-0.07819,-0.28205
000088.SZ,4.69,4.8,-0.08936,-0.13883
000089.SZ,6.66,6.64,-0.0546,-0.13305
000090.SZ,4.19,4.76,-0.24439,-0.45114
000096.SZ,9.95,9.93,-0.09045,0.06421
000099.SZ,16.96,12.52,0.50837,0.79906
000100.SZ,4.36,4.23,-0.16094,0.01823
000151.SZ,10.17,10.9,-0.10834,-0.2654
000153.SZ,6.73,8.02,-0.27665,-0.39843
000155.SZ,10.76,11.45,-0.14991,-0.29811
000156.SZ,6.81,7.22,-0.14444,-0.27273
000157.SZ,7.76,7.26,-0.23937,-0.00318
000158.SZ,6.95,7.88,-0.06901,0.1512
000159.SZ,5.59,5.91,0.13514,-0.08978
000166.SZ,4.5,4.46,-0.00223,-0.03664
000301.SZ,8.93,9.69,-0.25695,-0.31958
000333.SZ,64.98,59.94,-0.02812,0.17598
000338.SZ,15.55,14.69,-0.23323,0.0646
000400.SZ,28.87,24.24,0.12111,0.4482
000401.SZ,4.79,5.84,-0.24382,-0.4596
000402.SZ,2.7,3.34,-0.38769,-0.58193
000403.SZ,27.35,25.68,-0.04462,0.40181
000404.SZ,6.3,6.12,-0.11424,-0.00831
000407.SZ,2.88,3.24,-0.09732,-0.28075
000408.SZ,26.54,25.42,-0.19628,0.02059
000409.SZ,8.14,8.13,-0.13789,-0.11235
000410.SZ,6.64,6.85,-0.12945,-0.23596
000411.SZ,10.1,10.75,-0.07172,-0.23225
000415.SZ,2.47,2.39,0.15566,-0.07547
000417.SZ,4.43,4.73,-0.07466,-0.27482
000419.SZ,4.4,4.96,-0.02733,-0.2561
000420.SZ,3.38,3.19,0.05776,-0.14076
000421.SZ,4.95,5.29,-0.09363,-0.13498
000422.SZ,11.27,10.62,0.28587,0.02643
000423.SZ,60.91,55.43,-0.16992,-0.03652
000425.SZ,6.88,6.34,0.00159,0.01125
000426.SZ,12.86,10.93,0.17769,0.32867
000428.SZ,3.09,3.65,-0.1403,-0.3833
000429.SZ,10.43,9.44,0.11817,0.47382
000430.SZ,6.11,6.39,-0.10214,-0.26649
000488.SZ,3.61,3.85,0.02624,-0.26667
000498.SZ,5.41,5.67,-0.07313,-0.23065
000501.SZ,7.27,7.95,-0.07819,-0.28814
000503.SZ,7.99,9.83,-0.30225,-0.39088
000504.SZ,7.42,9.05,-0.13033,-0.35622
000505.SZ,5.83,6.44,-0.21304,-0.34954
000507.SZ,4.72,5.02,-0.0865,-0.22122
000509.SZ,2.85,3.25,-0.17726,-0.26126
000510.SZ,3.37,4.23,-0.255,-0.4409
000513.SZ,37.8,36.46,-0.07032,0.06257
000514.SZ,3.34,3.83,-0.05607,-0.4082
000516.SZ,5.33,6.7,-0.31703,-0.46278
000517.SZ,2.56,2.59,-0.05479,-0.33866
000518.SZ,2.21,2.61,-0.16102,-0.30526
000519.SZ,13.28,13.67,-0.12795,-0.2897
000520.SZ,2.52,2.67,-0.04955,-0.32372
000521.SZ,8.76,7.55,-0.12896,0.30442
000523.SZ,2.9,3.04,-0.16066,-0.22892
000524.SZ,8.82,8.75,-0.02364,-0.18056
000526.SZ,59.42,49.72,-0.12514,1.05821
000528.SZ,10.05,8.4,0.15519,0.26438
000529.SZ,6.11,6.3,-0.06204,-0.2031
000530.SZ,3.92,4.55,-0.125,-0.32342
000531.SZ,5.47,6.01,-0.20833,-0.30804
000532.SZ,11.88,11.74,-0.09277,-0.03003
000533.SZ,3.5,3.83,-0.15873,-0.20698
000534.SZ,10.66,11.57,-0.12844,-0.23139
000536.SZ,2.32,2.88,-0.28,0.17391
000537.SZ,9.52,9.94,-0.1459,-0.27013
000538.SZ,52.79,51.6,0.07443,0.04133
000539.SZ,5.13,5.27,-0.15507,-0.39024
000541.SZ,5.14,5.72,-0.14233,-0.12121
000543.SZ,8.51,7.5,0.11803,0.30015
000544.SZ,7.71,7.44,0.02017,-0.16509
000545.SZ,2.02,2.47,-0.11927,-0.36213
000546.SZ,4.72,6.05,-0.22399,-0.35389
000547.SZ,6.74,7.51,-0.14722,-0.3208
000548.SZ,4.29,4.73,-0.05152,-0.21663
000550.SZ,25.53,22.4,-0.19557,0.20757
000551.SZ,9.14,9.4,-0.01413,-0.05422
000552.SZ,3.19,3.17,-0.18361,-0.20447
000553.SZ,5.34,6.35,-0.32,-0.47007
000554.SZ,5.34,5.58,-0.05133,-0.12762
000555.SZ,10.42,10.8,-0.12579,-0.28645
000557.SZ,4.3,4.47,-0.04318,-0.17451
000558.SZ,2.38,2.63,-0.16154,-0.25342
000559.SZ,4.76,4.97,-0.05342,-0.19601
000560.SZ,2.37,2.38,0.3526,-0.18182
000561.SZ,6.89,7.61,-0.17047,-0.31561
000563.SZ,2.92,2.98,-0.07383,-0.12934
000564.SZ,1.83,1.63,-0.12766,0.28125
000565.SZ,4.34,5.05,-0.06164,-0.29744
000566.SZ,3.31,3.88,-0.1532,-0.33479
000567.SZ,7.55,9.36,-0.49794,-0.58197
000568.SZ,159.82,177.43,-0.31077,-0.49637
000570.SZ,4.77,5.25,-0.17187,-0.26389
000571.SZ,2.97,2.8,0.25328,0.18595
000572.SZ,3.52,4.08,-0.24439,-0.3326
000573.SZ,2.45,2.91,-0.18992,-0.45714
000576.SZ,6.61,7.83,-0.23343,-0.44221
000581.SZ,17.24,16.72,-0.07227,-0.03837
000582.SZ,7.8,7.69,-0.06789,-0.09848
000586.SZ,8.55,10.77,-0.32516,-0.48266
000589.SZ,5.46,5.88,-0.25871,-0.33581
000590.SZ,6.07,7.33,-0.21286,-0.37998
000591.SZ,4.89,5.27,-0.23119,-0.31648
000592.SZ,1.73,2.11,-0.35484,-0.42387
000593.SZ,5.04,6.13,-0.17037,-0.38714
000595.SZ,4.1,4.6,-0.0917,-0.21951
000596.SZ,228.62,238.18,-0.28191,-0.38153
000597.SZ,4.42,4.79,-0.07253,-0.18533
000598.SZ,7.34,6.44,0.08065,0.20287
000599.SZ,3.86,4.11,-0.10137,-0.23721
000600.SZ,6.06,5.68,-0.1476,-0.26316
000601.SZ,3.79,3.99,-0.02479,-0.2009
000603.SZ,12.43,12.21,0.05458,-0.23866
000605.SZ,4.81,5.44,-0.04711,-0.34172
000607.SZ,3.49,4.07,-0.21108,-0.38223
000608.SZ,1.75,2.3,-0.30049,-0.53595
000610.SZ,12.75,13.48,-0.19217,-0.30779
000612.SZ,6.53,5.9,0.08147,0.04941
000617.SZ,5.63,5.79,-0.12671,-0.25872
000619.SZ,4.49,5.37,-0.23246,-0.4025
000620.SZ,1.75,1.71,-0.19883,-0.25543
000623.SZ,14.03,14.97,-0.14516,-0.23327
000625.SZ,14.82,14.97,-0.21247,-0.09336
000626.SZ,4.82,5.87,-0.19208,-0.4411
000627.SZ,2.09,2.54,-0.32946,-0.48968
000628.SZ,51.25,45.75,-0.58248,1.21163
000629.SZ,2.79,3.1,-0.27445,-0.41176
000630.SZ,3.67,3.4,-0.13068,-0.02236
000631.SZ,2.6,2.89,-0.20073,-0.26756
000632.SZ,2.99,3.66,-0.22601,-0.43694
000633.SZ,4.73,5.81,-0.17996,-0.31895
000635.SZ,6.44,7.55,-0.16949,-0.32414
000636.SZ,12.83,13.28,0.1637,-0.03652
000637.SZ,3.29,3.38,-0.00314,-0.08646
000638.SZ,4.15,5.27,-0.30709,-0.47147
000639.SZ,2.81,3.53,-0.2459,-0.49115
000650.SZ,6.24,6.45,-0.14082,-0.1659
000651.SZ,40.01,37.19,-0.05226,0.12135
000652.SZ,3.27,3.63,-0.1268,-0.30184
000655.SZ,5.92,6.36,-0.1066,-0.20242
000657.SZ,9.94,9.45,-0.08471,-0.23425
000659.SZ,1.75,2.18,-0.07353,-0.38235
000661.SZ,105.24,122.77,-0.35167,-0.40438
000663.SZ,5.08,6.83,-0.33225,-0.58882
000665.SZ,3.72,4.34,-0.19332,-0.38208
000668.SZ,6.95,9.09,-0.23671,-0.48285
000670.SZ,4.9,5.62,-0.2788,-0.33538
000672.SZ,6.78,7.63,-0.12903,-0.32004
000676.SZ,6.23,6.83,-0.19499,-0.03506
000677.SZ,2.72,2.85,0.04219,-0.13333
000678.SZ,4.41,5.45,-0.22101,-0.34848
000679.SZ,3.21,4.35,-0.27792,-0.51056
000680.SZ,7.78,6.42,-0.00602,0.33535
000681.SZ,12.35,13.48,-0.19182,-0.26653
000682.SZ,10.61,9.23,0.13987,0.21765
000683.SZ,6.74,6.54,-0.06863,-0.20168
000685.SZ,7.53,7.46,-0.0425,-0.0612
000686.SZ,6.27,6.83,-0.17908,-0.28996
000688.SZ,11.42,10.99,-0.03557,-0.28377
000690.SZ,5.03,5.01,-0.17828,-0.37344
000691.SZ,3.77,4.22,0.11012,-0.24341
000692.SZ,2.92,2.86,0.0,0.08989
000695.SZ,8.73,9.72,0.24638,-0.16774
000697.SZ,6.61,6.11,-0.14537,-0.12439
000698.SZ,3.28,3.7,-0.22714,-0.37321
000700.SZ,5.92,6.5,-0.02393,-0.12957
000701.SZ,4.12,5.02,-0.18841,-0.48387
000702.SZ,4.57,5.09,0.067,-0.25862
000703.SZ,6.9,6.96,-0.10074,-0.15342
000705.SZ,7.58,8.16,-0.10943,-0.13129
000707.SZ,7.11,7.37,-0.10795,-0.25768
000708.SZ,14.16,14.21,-0.28265,-0.22548
000709.SZ,2.06,2.13,-0.14352,-0.1886
000710.SZ,8.03,9.34,-0.09463,-0.38004
000712.SZ,10.1,12.13,-0.13073,-0.25146
000713.SZ,6.06,7.09,-0.24187,-0.39435
000715.SZ,5.7,6.58,-0.26863,-0.36437
000716.SZ,4.27,5.25,-0.26122,-0.49229
000717.SZ,2.0,2.38,-0.33603,-0.45515
000718.SZ,1.9,2.31,-0.22973,-0.43189
000719.SZ,10.69,10.58,0.03674,-0.0898
000720.SZ,2.77,3.49,-0.3253,-0.50552
000721.SZ,7.94,9.66,-0.31899,-0.48817
000722.SZ,9.45,9.65,-0.08023,-0.27837
000723.SZ,5.39,6.11,-0.41384,-0.47837
000725.SZ,4.08,3.96,-0.03722,0.01837
000726.SZ,6.18,6.38,-0.15739,-0.22401
