ts_code,symbol,name,industry,market,list_date,circ_mv,turnover_rate_f
000001.SZ,000001,平安银行,银行,主板,1991-04-03,22180620.8345,1.9482
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,8852128.573,4.1188
000008.SZ,000008,神州高铁,运输设备,主板,1992-05-07,676878.1402,6.034
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,2610113.2215,6.8729
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,1063888.8472,2.0911
000021.SZ,000021,深科技,元器件,主板,1994-02-02,3317460.8138,19.6069
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,3158906.9042,3.1293
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1369623.8877,4.8665
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,1513147.02,11.2357
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,873180.0819,7.0626
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,1308944.1043,3.0946
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,1179917.7741,12.371
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1921348.5998,15.9724
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1154677.9849,2.4993
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,1960798.8841,1.959
000045.SZ,000045,深纺织A,元器件,主板,1994-08-15,566707.0928,12.9499
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,909913.0558,2.4424
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,935481.5976,4.8784
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,2098892.0994,5.8634
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30,841306.7745,4.6539
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1872389.4197,6.2463
000061.SZ,000061,农产品,农业综合,主板,1997-01-10,1099612.5879,1.467
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30,3622049.8293,19.3257
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18,11920187.806,3.3026
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05,914010.724,5.7735
000066.SZ,000066,中国长城,IT设备,主板,1997-06-26,5494301.0616,43.4693
000069.SZ,000069,华侨城A,全国地产,主板,1997-09-10,2020121.7283,3.8375
000088.SZ,000088,盐田港,港口,主板,1997-07-28,1099827.2463,2.1502
000089.SZ,000089,深圳机场,机场,主板,1998-04-20,1431418.1973,2.5875
000090.SZ,000090,天健集团,建筑工程,主板,1999-07-21,805306.2316,3.8234
000096.SZ,000096,广聚能源,石油贸易,主板,2000-07-24,612506.752,3.769
000099.SZ,000099,中信海直,空运,主板,2000-07-31,1897533.7551,36.8248
000100.SZ,000100,TCL科技,元器件,主板,2004-01-30,9392928.6764,21.9566
000155.SZ,000155,川能动力,新型电力,主板,2000-09-26,1509623.5751,4.4781
000156.SZ,000156,华数传媒,影视音像,主板,2000-09-06,1220510.8797,2.0875
000157.SZ,000157,中联重科,工程机械,主板,2000-10-12,5041273.6749,2.5953
000158.SZ,000158,常山北明,软件服务,主板,2000-07-24,5293787.9125,39.299
000166.SZ,000166,申万宏源,证券,主板,2015-01-26,11921283.3702,1.998
000301.SZ,000301,东方盛虹,化纤,主板,2000-05-29,4364628.191,1.176
000333.SZ,000333,美的集团,家用电器,主板,2013-09-18,49770877.4482,0.8825
000338.SZ,000338,潍柴动力,汽车配件,主板,2007-04-30,6688493.0736,2.2382
000400.SZ,000400,许继电气,电气设备,主板,1997-04-18,3126801.2782,5.0007
000401.SZ,000401,冀东水泥,水泥,主板,1996-06-14,908265.8977,2.6011
000402.SZ,000402,金融街,全国地产,主板,1996-06-26,1045880.4657,9.0555
000403.SZ,000403,派林生物,生物制药,主板,1996-06-28,1522927.4797,1.8168
000404.SZ,000404,长虹华意,家用电器,主板,1996-06-19,511426.0089,6.912
000408.SZ,000408,藏格矿业,农药化肥,主板,1996-06-28,4632206.8375,1.9408
000415.SZ,000415,渤海租赁,多元金融,主板,1996-07-16,1973732.7787,7.7643
000422.SZ,000422,湖北宜化,农药化肥,主板,1996-08-15,1400163.876,6.9166
000423.SZ,000423,东阿阿胶,中成药,主板,1996-07-29,3816206.659,1.3323
000425.SZ,000425,徐工机械,工程机械,主板,1996-08-28,6625995.2425,2.777
000426.SZ,000426,兴业银锡,铅锌,主板,1996-08-28,2270686.1944,4.1393
000429.SZ,000429,粤高速A,路桥,主板,1998-02-20,1429752.9069,2.893
000488.SZ,000488,晨鸣纸业,造纸,主板,2000-11-20,614234.7283,3.0589
000498.SZ,000498,山东路桥,建筑工程,主板,1997-06-09,928684.3276,4.8803
000501.SZ,000501,武商集团,百货,主板,1992-11-20,636915.6356,2.7801
000503.SZ,000503,国新健康,软件服务,主板,1992-11-30,1291310.7372,13.0727
000513.SZ,000513,丽珠集团,化学制药,主板,1993-10-28,2237182.6606,3.4669
000516.SZ,000516,国际医学,医疗保健,主板,1993-08-09,1173307.8958,2.0901
000517.SZ,000517,荣安地产,区域地产,主板,1993-08-06,605552.6991,7.1169
000519.SZ,000519,中兵红箭,专用机械,主板,1993-10-08,2258730.6688,9.7005
000521.SZ,000521,长虹美菱,家用电器,主板,1993-10-18,745690.2908,7.2779
000526.SZ,000526,学大教育,文教休闲,主板,1993-11-01,577001.7316,12.0015
000528.SZ,000528,柳工,工程机械,主板,1993-11-18,1759647.5641,3.0815
000529.SZ,000529,广弘控股,食品,主板,1993-11-18,320844.9043,4.5401
000536.SZ,000536,华映科技,元器件,主板,1993-11-26,1682717.2522,54.38
000537.SZ,000537,中绿电,新型电力,主板,1993-12-10,1842032.9921,3.8015
000538.SZ,000538,云南白药,中成药,主板,1993-12-15,10159895.001,1.7644
000539.SZ,000539,粤电力A,火力发电,主板,1993-11-26,1220762.5982,6.0245
000541.SZ,000541,佛山照明,家用电器,主板,1993-11-23,650987.7908,3.5898
000543.SZ,000543,皖能电力,火力发电,主板,1993-12-20,1752285.3549,2.8752
000544.SZ,000544,中原环保,环境保护,主板,1993-12-08,848950.189,4.6592
000547.SZ,000547,航天发展,通信设备,主板,1993-11-30,1262738.8033,4.6532
000550.SZ,000550,江铃汽车,汽车整车,主板,1993-12-01,1273863.9841,10.4016
000551.SZ,000551,创元科技,专用机械,主板,1994-01-06,523000.5649,19.3011
000552.SZ,000552,甘肃能化,煤炭开采,主板,1994-01-06,1017136.2979,4.5492
000553.SZ,000553,安道麦A,农药化肥,主板,1993-12-03,1489114.1433,12.6569
000555.SZ,000555,神州信息,软件服务,主板,1994-04-08,1074380.2146,10.3984
000559.SZ,000559,万向钱潮,汽车配件,主板,1994-01-10,2081380.6371,13.052
000560.SZ,000560,我爱我家,房产服务,主板,1994-02-02,789345.3379,20.3594
000563.SZ,000563,陕国投A,多元金融,主板,1994-01-10,2066044.0246,26.3635
000567.SZ,000567,海德股份,多元金融,主板,1994-05-25,1799785.9032,29.3296
000568.SZ,000568,泸州老窖,白酒,主板,1994-05-09,20032910.9025,2.261
000572.SZ,000572,海马汽车,汽车整车,主板,1994-08-08,789876.6627,24.2814
000581.SZ,000581,威孚高科,汽车配件,主板,1998-09-24,1454007.2083,2.1098
000582.SZ,000582,北部湾港,港口,主板,1995-11-02,1123501.9838,2.7636
000589.SZ,000589,贵州轮胎,汽车配件,主板,1996-03-08,742102.1394,4.2925
000591.SZ,000591,太阳能,新型电力,主板,1996-02-08,1835235.74,2.6187
000596.SZ,000596,古井贡酒,白酒,主板,1996-09-27,7844711.4,2.3572
000597.SZ,000597,东北制药,化学制药,主板,1996-05-23,697805.3316,4.45
000598.SZ,000598,兴蓉环境,水务,主板,1996-05-29,2156734.1477,2.219
000600.SZ,000600,建投能源,火力发电,主板,1996-06-06,562466.252,4.6085
000601.SZ,000601,韶能股份,水力发电,主板,1996-08-30,441908.1613,2.2396
000603.SZ,000603,盛达资源,铅锌,主板,1996-08-23,975931.8524,22.8435
000610.SZ,000610,西安旅游,旅游服务,主板,1996-09-26,306606.6702,14.5447
000612.SZ,000612,焦作万方,铝,主板,1996-09-26,929307.7123,15.196
000617.SZ,000617,中油资本,多元金融,主板,1996-10-22,10189515.7377,19.1096
