ts_code,name,fund_type,list_date,invest_type,type,market
008565.OF,泰康安泽中短债A,债券型,,债券型,契约型开放式,O
011012.OF,泰康安泽中短债C,债券型,,债券型,契约型开放式,O
159872.SZ,智能网联汽车ETF,股票型,20210701,被动指数型,契约型开放式,E
012255.OF,富国高质量,混合型,,混合型,契约型开放式,O
012423.OF,山西证券超短债E,债券型,,债券型,契约型开放式,O
011372.OF,华商远见价值C,混合型,,混合型,契约型开放式,O
011112.OF,华泰柏瑞行业严选C,混合型,,混合型,契约型开放式,O
010935.OF,国寿安保稳福6个月持有C,混合型,,混合型,契约型开放式,O
010934.OF,国寿安保稳福6个月持有A,混合型,,混合型,契约型开放式,O
011371.OF,华商远见价值A,混合型,,混合型,契约型开放式,O
011111.OF,华泰柏瑞行业严选A,混合型,,混合型,契约型开放式,O
011954.OF,广发汇荣三个月定开A,债券型,,债券型,契约型开放式,O
012195.OF,万家瑞泽回报一年持有,混合型,,混合型,契约型开放式,O
012631.OF,中银行业优选C,混合型,,灵活配置型,契约型开放式,O
012390.OF,中欧产业前瞻A,混合型,,混合型,契约型开放式,O
012391.OF,中欧产业前瞻C,混合型,,混合型,契约型开放式,O
012580.OF,财通资管鸿安30天滚动持有A,债券型,,债券型,契约型开放式,O
012581.OF,财通资管鸿安30天滚动持有C,债券型,,债券型,契约型开放式,O
012628.OF,华夏大盘精选C,混合型,,增值型,契约型开放式,O
516980.SH,证券ETF先锋,股票型,20210624,被动指数型,契约型开放式,E
012080.OF,易方达中证500量化增强A,股票型,,增强指数型,契约型开放式,O
011311.OF,国联恒阳纯债C,债券型,,债券型,契约型开放式,O
159755.SZ,电池ETF,股票型,20210624,被动指数型,契约型开放式,E
012621.OF,诺安先锋C,混合型,,混合型,契约型开放式,O
012603.OF,富安达富利纯债C,债券型,,债券型,契约型开放式,O
011167.OF,景顺长城景气成长A,混合型,,混合型,契约型开放式,O
012081.OF,易方达中证500量化增强C,股票型,,增强指数型,契约型开放式,O
011310.OF,国联恒阳纯债A,债券型,,债券型,契约型开放式,O
012547.OF,南方中证银行ETF联接E,股票型,,被动指数型,契约型开放式,O
159725.SZ,线上消费ETF,股票型,20210702,被动指数型,契约型开放式,E
012600.OF,中银内核驱动C,股票型,,股票型,契约型开放式,O
970034.OF,华安证券合赢三个月定开,债券型,,债券型,契约型开放式,O
011091.OF,工银双玺6个月持有A,债券型,,债券型,契约型开放式,O
011092.OF,工银双玺6个月持有C,债券型,,债券型,契约型开放式,O
012145.OF,中欧稳宁9个月持有A,债券型,,债券型,契约型开放式,O
011276.OF,交银成长动力一年持有C,混合型,,混合型,契约型开放式,O
012146.OF,中欧稳宁9个月持有C,债券型,,债券型,契约型开放式,O
011275.OF,交银成长动力一年持有A,混合型,,混合型,契约型开放式,O
010582.OF,中信建投中债3-5年政策性金融债C,债券型,,被动指数型,契约型开放式,O
011489.OF,创金合信双季享6个月持有A,债券型,,债券型,契约型开放式,O
011490.OF,创金合信双季享6个月持有C,债券型,,债券型,契约型开放式,O
012615.OF,东吴国企改革C,混合型,,灵活配置型,契约型开放式,O
010581.OF,中信建投中债3-5年政策性金融债A,债券型,,被动指数型,契约型开放式,O
012051.OF,申万菱信乐道三年持有,混合型,,混合型,契约型开放式,O
011123.OF,汇添富ESG可持续成长C,股票型,,股票型,契约型开放式,O
011122.OF,汇添富ESG可持续成长A,股票型,,股票型,契约型开放式,O
012281.OF,中欧精益稳健一年持有,混合型,,混合型,契约型开放式,O
012123.OF,招商金安成长严选,混合型,,混合型,契约型开放式,O
012344.OF,嘉实领先优势A,混合型,,混合型,契约型开放式,O
516650.SH,有色金属ETF基金,股票型,20210621,被动指数型,契约型开放式,E
012345.OF,嘉实领先优势C,混合型,,混合型,契约型开放式,O
011674.OF,长城医药科技六个月持有C,混合型,,混合型,契约型开放式,O
012617.OF,东吴新经济C,混合型,,混合型,契约型开放式,O
012222.OF,瑞达行业轮动C,混合型,,混合型,契约型开放式,O
012221.OF,瑞达行业轮动A,混合型,,混合型,契约型开放式,O
012059.OF,鹏华永益3个月定开,债券型,,债券型,契约型开放式,O
516570.SH,化工行业ETF,股票型,20210618,被动指数型,契约型开放式,E
011673.OF,长城医药科技六个月持有A,混合型,,混合型,契约型开放式,O
012148.OF,国投瑞银产业趋势A,混合型,,混合型,契约型开放式,O
516820.SH,医疗创新ETF,股票型,20210701,被动指数型,契约型开放式,E
011141.OF,南方景元中高等级信用债A,债券型,,债券型,契约型开放式,O
159745.SZ,建材ETF,股票型,20210618,被动指数型,契约型开放式,E
012149.OF,国投瑞银产业趋势C,混合型,,混合型,契约型开放式,O
011738.OF,华安兴安优选一年持有A,混合型,,混合型,契约型开放式,O
011739.OF,华安兴安优选一年持有C,混合型,,混合型,契约型开放式,O
011775.OF,格林鑫悦一年持有A,混合型,,混合型,契约型开放式,O
011776.OF,格林鑫悦一年持有C,混合型,,混合型,契约型开放式,O
011646.OF,国泰核心价值两年持有C,股票型,,股票型,契约型开放式,O
011277.OF,上银科技驱动双周定期可赎回A,混合型,,混合型,契约型开放式,O
011033.OF,南方宝恒A,混合型,,混合型,契约型开放式,O
011285.OF,民生加银价值优选6个月持有A,股票型,,股票型,契约型开放式,O
012356.OF,浦银安盛季季鑫90天滚动持有A,债券型,,债券型,契约型开放式,O
011286.OF,民生加银价值优选6个月持有C,股票型,,股票型,契约型开放式,O
012622.OF,金鹰添裕纯债C,债券型,,债券型,契约型开放式,O
012504.OF,国泰中证环保产业50ETF联接C,股票型,,被动指数型,契约型开放式,O
012069.OF,天弘安康颐享12个月持有A,混合型,,混合型,契约型开放式,O
011838.OF,鹏扬中国优质成长C,混合型,,混合型,契约型开放式,O
012623.OF,金鹰添盈纯债C,债券型,,债券型,契约型开放式,O
012503.OF,国泰中证环保产业50ETF联接A,股票型,,被动指数型,契约型开放式,O
010868.OF,华宝安盈,混合型,,混合型,契约型开放式,O
012070.OF,天弘安康颐享12个月持有C,混合型,,混合型,契约型开放式,O
513360.SH,教育ETF,股票型,20210617,被动指数型,契约型开放式,E
011645.OF,国泰核心价值两年持有A,股票型,,股票型,契约型开放式,O
011837.OF,鹏扬中国优质成长A,混合型,,混合型,契约型开放式,O
011833.OF,西部利得中证人工智能C,股票型,,增强指数型,契约型开放式,O
011832.OF,西部利得中证人工智能A,股票型,,增强指数型,契约型开放式,O
012286.OF,招商稳裕短债30天持有C,债券型,,债券型,契约型开放式,O
012285.OF,招商稳裕短债30天持有A,债券型,,债券型,契约型开放式,O
011034.OF,南方宝恒C,混合型,,混合型,契约型开放式,O
012357.OF,浦银安盛季季鑫90天滚动持有C,债券型,,债券型,契约型开放式,O
012077.OF,易方达悦夏一年持有A,混合型,,混合型,契约型开放式,O
011942.OF,建信泓利一年持有,债券型,,债券型,契约型开放式,O
011960.OF,兴业嘉福一年定开,债券型,,债券型,契约型开放式,O
012153.OF,博时研究慧选A,混合型,,混合型,契约型开放式,O
011919.OF,恒越短债A,债券型,,债券型,契约型开放式,O
012154.OF,博时研究慧选C,混合型,,混合型,契约型开放式,O
012078.OF,易方达悦夏一年持有C,混合型,,混合型,契约型开放式,O
011920.OF,恒越短债C,债券型,,债券型,契约型开放式,O
180101.SZ,博时蛇口产园REIT,REITs,20210621,,契约型封闭式,E
180201.SZ,平安广州广河REIT,REITs,20210621,,契约型封闭式,E
508027.SH,东吴苏园产业REIT,REITs,20210621,,契约型封闭式,E
180301.SZ,红土创新盐田港REIT,REITs,20210621,,契约型封闭式,E
508006.SH,富国首创水务REIT,REITs,20210621,,契约型封闭式,E
180801.SZ,中航首钢绿能REIT,REITs,20210621,,契约型封闭式,E
508001.SH,浙商沪杭甬REIT,REITs,20210621,,契约型封闭式,E
508056.SH,中金普洛斯REIT,REITs,20210621,,契约型封闭式,E
970028.OF,国海六个月滚动持有C,债券型,,债券型,契约型开放式,O
970027.OF,国海六个月滚动持有A,债券型,,债券型,契约型开放式,O
970032.OF,东海证券海睿进取A,混合型,,灵活配置型,契约型开放式,O
010254.OF,嘉实丰年一年定开纯债A,债券型,,债券型,契约型开放式,O
970033.OF,东海证券海睿进取B,混合型,,灵活配置型,契约型开放式,O
010255.OF,嘉实丰年一年定开纯债C,债券型,,债券型,契约型开放式,O
508000.SH,华安张江产业园REIT,REITs,20210621,,契约型封闭式,E
516380.SH,智能电动车ETF,股票型,20210618,被动指数型,契约型开放式,E
012566.OF,长城久稳C,债券型,,债券型,契约型开放式,O
012567.OF,长城久稳D,债券型,,债券型,契约型开放式,O
010523.OF,华安添禧一年持有C,混合型,,混合型,契约型开放式,O
010522.OF,华安添禧一年持有A,混合型,,混合型,契约型开放式,O
010259.OF,淳厚稳悦C,债券型,,债券型,契约型开放式,O
010258.OF,淳厚稳悦A,债券型,,债券型,契约型开放式,O
011899.OF,长安鑫瑞科技先锋6个月定开A,混合型,,混合型,契约型开放式,O
011900.OF,长安鑫瑞科技先锋6个月定开C,混合型,,混合型,契约型开放式,O
516390.SH,新能源汽车ETF,股票型,20210618,被动指数型,契约型开放式,E
