ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,name
530000.SH,20240910,20240906,600519.SH,4893000.0,3500.0,13.37,0.0,
159330.SZ,20240814,20240812,600519.SH,1436100.0,1000.0,5.27,0.0,
159800.SZ,20240709,20240705,600519.SH,13367600.0,9200.0,3.92,0.0,中证800ETF
018593.OF,20240711,20240630,600519.SH,15114117.0,10300.0,4.17,0.0,中欧汇利C
018592.OF,20240711,20240630,600519.SH,15114117.0,10300.0,4.17,0.0,中欧汇利A
019513.OF,20240711,20240630,600519.SH,15114117.0,10300.0,4.17,0.0,中欧汇利E
010712.OF,20240711,20240630,600519.SH,880434.0,600.0,4.06,0.0,中欧瑾利A
010713.OF,20240711,20240630,600519.SH,880434.0,600.0,4.06,0.0,中欧瑾利C
015664.OF,20240712,20240630,600519.SH,11005425.0,7500.0,9.79,0.0,易米开鑫价值优选C
015663.OF,20240712,20240630,600519.SH,11005425.0,7500.0,9.79,0.0,易米开鑫价值优选A
018756.OF,20240717,20240630,600519.SH,12619554.0,8600.0,4.58,0.0,睿远稳益增强30天持有A
018757.OF,20240717,20240630,600519.SH,12619554.0,8600.0,4.58,0.0,睿远稳益增强30天持有C
018362.OF,20240717,20240630,600519.SH,440217.0,300.0,4.37,0.0,东方阿尔法瑞丰A
018363.OF,20240717,20240630,600519.SH,440217.0,300.0,4.37,0.0,东方阿尔法瑞丰C
512360.SH,20240718,20240630,600519.SH,3521736.0,2400.0,5.2,0.0,平安MSCI国际ETF
515810.SH,20240718,20240630,600519.SH,7630428.0,5200.0,4.04,0.0,中证800ETF
167702.OF,20240718,20240630,600519.SH,1027173.0,700.0,2.12,0.0,德邦量化优选A
167703.OF,20240718,20240630,600519.SH,1027173.0,700.0,2.12,0.0,德邦量化优选C
515160.SH,20240718,20240630,600519.SH,34728719.13,23667.0,5.13,0.0,MSCI中国ETF招商
561900.SH,20240718,20240630,600519.SH,3815214.0,2600.0,7.41,0.0,沪深300ESGETF
