ts_code,symbol,name,industry,market,list_date,circ_mv
000001.SZ,1,平安银行,银行,主板,1991-04-03,19560862.4682
000002.SZ,2,万科A,全国地产,主板,1991-01-29,6335442.184
000006.SZ,6,深振业A,区域地产,主板,1992-04-27,562944.7441
000008.SZ,8,神州高铁,运输设备,主板,1992-05-07,526460.7757
000009.SZ,9,中国宝安,电气设备,主板,1991-06-25,1969704.2101
000012.SZ,12,南玻A,玻璃,主板,1992-02-28,987476.9411
000021.SZ,21,深科技,元器件,主板,1994-02-02,2154945.1477
000025.SZ,25,特力A,综合类,主板,1993-06-21,549496.8697
000027.SZ,27,深圳能源,火力发电,主板,1993-09-03,2721227.032
000028.SZ,28,国药一致,医药商业,主板,1993-08-09,1185095.1545
000029.SZ,29,深深房A,区域地产,主板,1993-09-15,986175.96
000030.SZ,30,富奥股份,汽车配件,主板,1993-09-29,754725.4196
000031.SZ,31,大悦城,全国地产,主板,1993-10-08,960692.9206
000032.SZ,32,深桑达A,建筑工程,主板,1993-10-28,816915.7485
000034.SZ,34,神州数码,软件服务,主板,1994-05-09,1420865.5693
000035.SZ,35,中国天楹,环境保护,主板,1994-04-08,1028960.9404
000039.SZ,39,中集集团,运输设备,主板,1994-04-08,1707644.0986
000048.SZ,48,京基智农,区域地产,主板,1994-11-01,697477.9203
000049.SZ,49,德赛电池,电气设备,主板,1995-03-20,883574.4806
000050.SZ,50,深天马A,元器件,主板,1995-03-15,1681079.8548
000058.SZ,58,深赛格,商品城,主板,1996-12-26,640062.5426
000059.SZ,59,华锦股份,石油加工,主板,1997-01-30,614185.9342
000060.SZ,60,中金岭南,铅锌,主板,1997-01-23,1554718.3716
000061.SZ,61,农产品,农业综合,主板,1997-01-10,906162.2252
000062.SZ,62,深圳华强,元器件,主板,1997-01-30,3260680.3827
000063.SZ,63,中兴通讯,通信设备,主板,1997-11-18,9809992.1535
000065.SZ,65,北方国际,建筑工程,主板,1998-06-05,754570.5718
000066.SZ,66,中国长城,IT设备,主板,1997-06-26,2530021.7947
000069.SZ,69,华侨城A,全国地产,主板,1997-09-10,1323765.7741
000078.SZ,78,海王生物,医药商业,主板,1998-12-18,585696.3738
000088.SZ,88,盐田港,港口,主板,1997-07-28,964879.1179
000089.SZ,89,深圳机场,机场,主板,1998-04-20,1257105.093
000090.SZ,90,天健集团,建筑工程,主板,1999-07-21,631539.4577
000099.SZ,99,中信海直,空运,主板,2000-07-31,1058930.7678
000100.SZ,100,TCL科技,元器件,主板,2004-01-30,7076368.2322
000155.SZ,155,川能动力,新型电力,主板,2000-09-26,1219111.8218
000156.SZ,156,华数传媒,影视音像,主板,2000-09-06,1010501.3835
000157.SZ,157,中联重科,工程机械,主板,2000-10-12,4327152.1586
000158.SZ,158,常山北明,软件服务,主板,2000-07-24,1224208.3025
000166.SZ,166,申万宏源,证券,主板,2015-01-26,9622661.6239
